artifact_form,occurrences,file_count,files
`,207,19,grade_10_aghatathmaka_and_anaghatathmaka_padi.md | grade_10_folk_song_classification.md | grade_10_musical_fundamentals.md | grade_10_nadaya.md | grade_10_nadaya_section_8_1_1.md | grade_11_music_textbook.md | grade_11_raga_identification.md | grade_7_music.md | grade_7_violin.md | grade_8_music_activity_1.md | grade_8_music_activity_2.md | grade_8_music_activity_3.md | grade_9_kolam.md | grade_9_music_instruments.md | grade_9_raga.md | grade_9_richmond_music.md | oriental_music_2018.md | swara_establishment_songs.md | swara_keyboard_instruments.md
සම`ග,70,5,grade_10_western_music.md | grade_11_music_textbook.md | grade_6_music_teacher_guide.md | grade_8_music_teacher_guide.md | music_teacher_guide_part_2.md
ම`ගින්,50,3,grade_10_western_music.md | grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md
ළ`ගා,22,7,grade_10_western_music.md | grade_11_music_textbook.md | grade_6_music_teacher_guide.md | grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md | music_teacher_guide_part_2.md | western_music_syllabus.md
`ල,19,1,oriental_music_2018.md
බැ`දි,17,3,grade_10_western_music.md | grade_11_music_textbook.md | grade_8_music_teacher_guide.md
ම`ග,14,2,grade_6_music_teacher_guide.md | grade_8_music_teacher_guide.md
වි`දියි,12,5,grade_10_western_music.md | grade_11_music_textbook.md | grade_6_music_teacher_guide.md | grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md
හො`දින්,8,2,grade_10_western_music.md | grade_6_music_teacher_guide.md
අ`ගල්,8,1,grade_6_music_teacher_guide.md
ඇ`ගිලි,7,3,grade_10_western_music.md | grade_6_music_teacher_guide.md | grade_8_music_teacher_guide.md
`ලෟ,7,1,oriental_music_2018.md
හැ`දින්වීම,6,3,grade_10_western_music.md | grade_11_music_textbook.md | grade_6_music_teacher_guide.md
`ෟ,6,2,grade_9_oriental_music_teacher_guide.md | oriental_music_2018.md
ෟග`,6,1,oriental_music_2018.md
ප`ඩිතුමා,5,2,grade_10_western_music.md | grade_11_music_textbook.md
හැ`දින්වීමක්,5,3,grade_10_western_music.md | grade_11_music_textbook.md | grade_8_music_teacher_guide.md
වි`දිමු,5,2,grade_10_western_music.md | grade_6_music_teacher_guide.md
දබරැ`ගිල්ලෙන්,5,1,grade_10_western_music.md
හැ`දින්වේ,5,3,grade_10_western_music.md | grade_11_music_textbook.md | grade_8_music_teacher_guide.md
ඉ`ගි,5,2,grade_10_western_music.md | grade_8_music_teacher_guide.md
හැ`ගීමෙන්,5,4,grade_6_music_teacher_guide.md | grade_7_11_oriental_music_teacher_guide.md | grade_8_music_teacher_guide.md | music_teacher_guide_part_2.md
හැ`දින්වීම්,5,1,grade_6_music_teacher_guide.md
ෟ`ල,5,1,oriental_music_2018.md
වි`දිමින්,4,2,grade_10_western_music.md | western_music_syllabus.md
අතැ`ගිලි,4,2,grade_10_western_music.md | grade_6_music_teacher_guide.md
ගොඩන`ගා,4,2,grade_10_western_music.md | grade_8_music_teacher_guide.md
ගොඩනැ`ගුණු,4,2,grade_6_music_teacher_guide.md | grade_8_music_teacher_guide.md
පෙනහ`ඵ,4,1,grade_6_music_teacher_guide.md
නැෙ`ගන,4,1,grade_8_music_teacher_guide.md
රැ`ල,4,1,oriental_music_2018.md
ක`ඵතර,3,3,grade_10_western_music.md | grade_11_music_textbook.md | grade_6_music_teacher_guide.md
න`ගන්න,3,2,grade_10_western_music.md | grade_8_music_teacher_guide.md
හ`ඩින්,3,3,grade_10_western_music.md | grade_6_music_teacher_guide.md | music_teacher_guide_part_2.md
වෙදැ`ගිල්ල,3,1,grade_10_western_music.md
දබරැ`ගිල්ල,3,1,grade_10_western_music.md
ස`ගරා,3,2,grade_10_western_music.md | grade_6_music_teacher_guide.md
ළ`ගාකර,3,1,grade_10_western_music.md
එ`ඵවන්,3,2,grade_6_music_teacher_guide.md | music_teacher_guide_part_2.md
සුළ`ග,3,1,grade_6_music_teacher_guide.md
සුළෙ`ග්,3,1,grade_6_music_teacher_guide.md
සිරිස`ගබෝ,3,1,grade_8_music_teacher_guide.md
යනවි`දියි,2,2,grade_10_western_music.md | western_music_syllabus.md
වි``දියි,2,2,grade_10_western_music.md | western_music_syllabus.md
සංගීතකඳු`ඵ,2,2,grade_10_western_music.md | western_music_syllabus.md
